,City/Town,Country/Territory,Notes
0,Abidjan (former capital; still hosts some government offices),Ivory Coast (Côte d'Ivoire),Abidjan is the largest city in Ivory Coast and is officially designated as the economic capital.
1,Yamoussoukro (de jure),Ivory Coast (Côte d'Ivoire),Abidjan is the largest city in Ivory Coast and is officially designated as the economic capital.
2,Abu Dhabi,United Arab Emirates,
3,Abuja,Nigeria,Lagos was the capital from 1914 to 1991.
4,Accra,Ghana,
5,Adamstown,Pitcairn Islands,British Overseas Territory.
6,Addis Ababa,Ethiopia,
7,"Aden (de facto, temporary)",Yemen,"Due to the Yemeni civil war (2014–present), Sanaa has been occupied by Houthi rebels since September 2014. Aden, the former capital of South Yemen, is Yemen's acting capital."
8,Sanaa (de jure),Yemen,"Due to the Yemeni civil war (2014–present), Sanaa has been occupied by Houthi rebels since September 2014. Aden, the former capital of South Yemen, is Yemen's acting capital."
9,Algiers,Algeria,
10,Alofi,Niue,Self-governing in free association with New Zealand. Government offices are spread across both Alofi North and Alofi South.
11,Amman,Jordan,
12,Amsterdam (official),Netherlands,"The Dutch government is located in The Hague, which also hosts the monarch, government ministries, judiciary and diplomatic missions. See also: Capital of the Netherlands."
13,The Hague (de facto),Netherlands,"The Dutch government is located in The Hague, which also hosts the monarch, government ministries, judiciary and diplomatic missions. See also: Capital of the Netherlands."
14,Andorra la Vella,Andorra,
15,Ankara,Turkey,"Ankara became the capital of the newly-formed Republic of Turkey in 1923, after the Turkish War of Independence. Istanbul was the capital of Turkey's predecessor, the Ottoman Empire."
16,Antananarivo,Madagascar,
17,Apia,Samoa,
18,Ashgabat,Turkmenistan,
19,Asmara,Eritrea,
20,Astana,Kazakhstan,Astana was named Nur-Sultan from 2019 to 2022. Almaty was the capital from 1929 to 1997.
21,Asunción,Paraguay,
22,Athens,Greece,
23,Avarua,Cook Islands,"Self-governing in free association with New Zealand. The capital is sometimes incorrectly stated as Rarotonga, the island on which Avarua is located."
24,Baghdad,Iraq,
25,Baku,Azerbaijan,
26,Bamako,Mali,
27,Bandar Seri Begawan,Brunei,
28,Bangkok,Thailand,
29,Bangui,Central African Republic,
30,Banjul,"Gambia, The",
31,Basseterre,Saint Kitts and Nevis,
32,Beijing,China,See also: Historical capitals of China.
33,Beirut,Lebanon,
34,Belgrade,Serbia,
35,Belmopan,Belize,"Belize City was the capital of Belize's predecessor, British Honduras."
36,Berlin,Germany,"Bonn was the capital of West Germany and remained the seat of government for reunified Germany until 1999, and is still the primary seat of six ministries. See also: Capital of Germany."
37,Bern (de facto),Switzerland,
38,Bishkek,Kyrgyzstan,
39,Bissau,Guinea-Bissau,
40,Bloemfontein (judicial),South Africa,
41,Cape Town (legislative),South Africa,
42,Pretoria (executive),South Africa,
43,Bogotá,Colombia,
44,Brades (de facto),Montserrat,"British Overseas Territory. Plymouth was abandoned after the eruption of the Soufrière Hills volcano in 1997. Government offices since then have been moved to Brades, which is in the northwestern part of Montserrat."
45,Plymouth (de jure),Montserrat,"British Overseas Territory. Plymouth was abandoned after the eruption of the Soufrière Hills volcano in 1997. Government offices since then have been moved to Brades, which is in the northwestern part of Montserrat."
46,Brasília,Brazil,Rio de Janeiro was the capital until 1960. See also: Capitals of Brazil.
47,Bratislava,Slovakia,
48,Brazzaville,Congo,
49,Bridgetown,Barbados,
50,Brussels,Belgium,
51,Bucharest,Romania,
52,Budapest,Hungary,See also: List of historical capitals of Hungary.
53,Buenos Aires,Argentina,
54,Cairo,Egypt,A new capital is being built at the New Administrative Capital. It might be named Egypt. See also: List of historical capitals of Egypt.
55,Canberra,Australia,"Planned city built to overcome the rivalry between Melbourne (de facto capital at the time) and Sydney (economic capital and largest population center), which were both put forward as potential capitals for the nation in the Australasia Federation Conventions of the 1890s. Section 125 of the Constitution gives basic details about the location of the capital, size of the encompassing territory and so forth, while the Seat of Government Act 1908 specified its precise location."
56,Caracas,Venezuela,
57,Castries,Saint Lucia,
58,Cetinje (Old Royal Capital; present seat of the President),Montenegro,
59,Podgorica (de jure),Montenegro,
60,Charlotte Amalie,United States Virgin Islands,Territory of the United States.
61,Chișinău,Moldova,
62,Cockburn Town,Turks and Caicos Islands,British Overseas Territory.
63,"Colombo (executive, judicial)",Sri Lanka,"Until the 1982, the capital was Colombo, where many governmental institutions still remain, and which is still designated as the commercial capital of Sri Lanka. See also: Capital of Sri Lanka."
64,Sri Jayawardenepura Kotte (official),Sri Lanka,"Also known as Kotte, Sri Jayawardenepura Kotte is a suburb of Colombo."
65,Conakry,Guinea,
66,Copenhagen,Denmark,
67,Cotonou (de facto),Benin,
68,Porto-Novo (official),Benin,
69,Dakar,Senegal,
70,Damascus,Syria,
71,"Dar es Salaam (de facto, judicial)",Tanzania,"Dar es Salaam, the former capital, and largest city, continues to serve as the de facto seat of government, hosting the presidency, government ministries, judiciary and diplomatic missions."
72,"Dodoma (de jure, legislative)",Tanzania,
73,Dhaka,Bangladesh,
74,Dili,East Timor,
75,Djibouti,Djibouti,
76,Doha,Qatar,
77,Douglas,Isle of Man,British Crown Dependency.
78,Dublin,Ireland,
79,Dushanbe,Tajikistan,
80,Flying Fish Cove,Christmas Island,External territory of Australia.
81,Freetown,Sierra Leone,
82,Funafuti,Tuvalu,
83,Gaborone,Botswana,
84,George Town,Cayman Islands,British Overseas Territory.
85,Georgetown,Ascension Island,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
86,Georgetown,Guyana,
87,Gibraltar,Gibraltar,"British Overseas Territory, city-state."
88,Gitega (de jure),Burundi,Bujumbura was the capital from 1962 to 2018.
89,Bujumbura (de facto),Burundi,Bujumbura was the capital from 1962 to 2018.
90,Guatemala City,Guatemala,
91,Gustavia,Saint Barthélemy,Overseas collectivity of France.
92,Hagåtña,Guam,Territory of the United States.
93,Hamilton,Bermuda,British Overseas Territory.
94,Hanoi,Vietnam,See also: List of historical capitals of Vietnam.
95,Harare,Zimbabwe,
96,Hargeisa,Somaliland,"Unrecognized and self-declared state, de jure part of Somalia."
97,Havana,Cuba,
98,Helsinki,Finland,
99,Honiara,Solomon Islands,Honiara is a settlement on the island of Guadalcanal.
100,Islamabad,Pakistan,Karachi was selected as the first capital of Pakistan and served as such from 1948 until the capital was shifted to Rawalpindi in 1958. Rawalpindi served as an interim capital for almost a decade until the construction of Islamabad was complete; the capital became Islamabad in 1967.
101,Jakarta,Indonesia,A new purpose-built city named Nusantara in Kalimantan is planned to replace Jakarta as the national capital from the mid-2020s.[1][2]
102,Jamestown,Saint Helena,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
